# BEGIN DATA
Process=pp -> e~vj + ev~j
3.000000e+02 3.500000e+02 -1.342463e-03 -8.998725e-03 -8.998725e-03
3.500000e+02 4.000000e+02 -1.489927e-03 -1.033546e-02 -1.033546e-02
4.000000e+02 4.500000e+02 -2.077989e-03 -8.975106e-03 -8.975106e-03
4.500000e+02 5.000000e+02 -2.675906e-03 -1.040977e-02 -1.040977e-02
5.000000e+02 5.500000e+02 -3.164121e-03 -1.182767e-02 -1.182767e-02
5.500000e+02 6.000000e+02 -3.864728e-03 -1.243439e-02 -1.243439e-02
6.000000e+02 6.500000e+02 -4.585600e-03 -1.423566e-02 -1.423566e-02
6.500000e+02 7.000000e+02 -5.465971e-03 -1.493491e-02 -1.493491e-02
7.000000e+02 7.500000e+02 -6.052768e-03 -1.737724e-02 -1.737724e-02
7.500000e+02 8.000000e+02 -7.038660e-03 -1.949706e-02 -1.949706e-02
8.000000e+02 8.500000e+02 -7.933172e-03 -2.013901e-02 -2.013901e-02
8.500000e+02 9.000000e+02 -8.853786e-03 -2.175538e-02 -2.175538e-02
9.000000e+02 9.500000e+02 -9.658620e-03 -2.419600e-02 -2.419600e-02
9.500000e+02 1.000000e+03 -1.057782e-02 -2.689484e-02 -2.689484e-02
1.000000e+03 1.100000e+03 -1.210130e-02 -2.072794e-02 -2.072794e-02
1.100000e+03 1.200000e+03 -1.330761e-02 -2.414581e-02 -2.414581e-02
1.200000e+03 1.300000e+03 -1.502403e-02 -2.688410e-02 -2.688410e-02
1.300000e+03 1.400000e+03 -1.680798e-02 -3.067985e-02 -3.067985e-02
1.400000e+03 1.600000e+03 -1.973727e-02 -2.702162e-02 -2.702162e-02
1.600000e+03 1.800000e+03 -2.387980e-02 -3.630107e-02 -3.630107e-02
1.800000e+03 2.000000e+03 -2.858692e-02 -4.288526e-02 -4.288526e-02
2.000000e+03 2.200000e+03 -3.491942e-02 -5.877078e-02 -5.877078e-02
2.200000e+03 2.400000e+03 -4.107212e-02 -5.588347e-02 -5.588347e-02
2.400000e+03 2.600000e+03 -5.344655e-02 -7.175810e-02 -7.175810e-02
2.600000e+03 2.800000e+03 -6.276232e-02 -9.214006e-02 -9.214006e-02
2.800000e+03 3.000000e+03 -7.897932e-02 -1.095204e-01 -1.095204e-01
3.000000e+03 6.500000e+03 -9.951042e-02 -1.235012e-01 -1.235012e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_17
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.338944e-03 5.521941e-03 5.521941e-03
4.000000e+01 5.000000e+01 4.255551e-03 6.871301e-03 6.871301e-03
5.000000e+01 6.000000e+01 4.048702e-03 7.075089e-03 7.075089e-03
6.000000e+01 7.000000e+01 3.855329e-03 7.349216e-03 7.349216e-03
7.000000e+01 8.000000e+01 3.835613e-03 9.390914e-03 9.390914e-03
8.000000e+01 9.000000e+01 3.619352e-03 1.080093e-02 1.080093e-02
9.000000e+01 1.000000e+02 3.479120e-03 1.056098e-02 1.056098e-02
1.000000e+02 1.100000e+02 3.404230e-03 1.475466e-02 1.475466e-02
1.100000e+02 1.200000e+02 3.286919e-03 1.830769e-02 1.830769e-02
1.200000e+02 1.300000e+02 3.139558e-03 5.660670e-02 5.660670e-02
1.300000e+02 1.400000e+02 3.128200e-03 7.299711e-02 7.299711e-02
1.400000e+02 1.500000e+02 2.854929e-03 2.075169e-02 2.075169e-02
1.500000e+02 2.000000e+02 2.675118e-03 5.549044e-03 5.549044e-03
2.000000e+02 2.500000e+02 2.156706e-03 4.544473e-03 4.544473e-03
2.500000e+02 3.000000e+02 1.669890e-03 5.797492e-03 5.797492e-03
3.000000e+02 3.500000e+02 1.185817e-03 9.002412e-03 9.002412e-03
3.500000e+02 4.000000e+02 7.422200e-04 1.030204e-02 1.030204e-02
4.000000e+02 4.500000e+02 4.326041e-04 8.976814e-03 8.976814e-03
4.500000e+02 5.000000e+02 1.021182e-04 1.041613e-02 1.041613e-02
5.000000e+02 5.500000e+02 -1.443228e-04 -1.183749e-02 -1.183749e-02
5.500000e+02 6.000000e+02 -3.238084e-04 -1.244755e-02 -1.244755e-02
6.000000e+02 6.500000e+02 -4.602834e-04 -1.425701e-02 -1.425701e-02
6.500000e+02 7.000000e+02 -4.665047e-04 -1.495205e-02 -1.495205e-02
7.000000e+02 7.500000e+02 -4.907785e-04 -1.739674e-02 -1.739674e-02
7.500000e+02 8.000000e+02 -3.614775e-04 -1.952558e-02 -1.952558e-02
8.000000e+02 8.500000e+02 -1.909494e-04 -2.018272e-02 -2.018272e-02
8.500000e+02 9.000000e+02 1.156952e-04 2.180830e-02 2.180830e-02
9.000000e+02 9.500000e+02 2.869154e-04 2.426650e-02 2.426650e-02
9.500000e+02 1.000000e+03 6.061362e-04 2.698310e-02 2.698310e-02
1.000000e+03 1.100000e+03 1.354604e-03 2.081205e-02 2.081205e-02
1.100000e+03 1.200000e+03 1.867357e-03 2.425953e-02 2.425953e-02
1.200000e+03 1.300000e+03 2.844545e-03 2.702499e-02 2.702499e-02
1.300000e+03 1.400000e+03 3.642735e-03 3.086494e-02 3.086494e-02
1.400000e+03 1.600000e+03 5.682942e-03 2.722340e-02 2.722340e-02
1.600000e+03 1.800000e+03 8.441710e-03 3.657558e-02 3.657558e-02
1.800000e+03 2.000000e+03 1.182367e-02 4.325113e-02 4.325113e-02
2.000000e+03 2.200000e+03 1.521408e-02 5.954560e-02 5.954560e-02
2.200000e+03 2.400000e+03 1.978335e-02 5.628914e-02 5.628914e-02
2.400000e+03 2.600000e+03 2.732657e-02 7.300670e-02 7.300670e-02
2.600000e+03 2.800000e+03 3.425820e-02 9.382313e-02 9.382313e-02
2.800000e+03 3.000000e+03 4.439692e-02 1.119001e-01 1.119001e-01
3.000000e+03 6.500000e+03 6.040857e-02 1.265159e-01 1.265159e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_18
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -2.043298e-03 -5.507366e-03 -5.507366e-03
4.000000e+01 5.000000e+01 -2.070608e-03 -6.857297e-03 -6.857297e-03
5.000000e+01 6.000000e+01 -1.928212e-03 -7.063867e-03 -7.063867e-03
6.000000e+01 7.000000e+01 -1.787715e-03 -7.334191e-03 -7.334191e-03
7.000000e+01 8.000000e+01 -1.840236e-03 -9.376319e-03 -9.376319e-03
8.000000e+01 9.000000e+01 -1.524968e-03 -1.078595e-02 -1.078595e-02
9.000000e+01 1.000000e+02 -1.407064e-03 -1.053774e-02 -1.053774e-02
1.000000e+02 1.100000e+02 -1.398845e-03 -1.472862e-02 -1.472862e-02
1.100000e+02 1.200000e+02 -1.240151e-03 -1.828875e-02 -1.828875e-02
1.200000e+02 1.300000e+02 -1.071739e-03 -5.653755e-02 -5.653755e-02
1.300000e+02 1.400000e+02 -8.767576e-04 -7.291083e-02 -7.291083e-02
1.400000e+02 1.500000e+02 -6.885257e-04 -2.073045e-02 -2.073045e-02
1.500000e+02 2.000000e+02 -4.101303e-04 -5.547333e-03 -5.547333e-03
2.000000e+02 2.500000e+02 3.631393e-04 4.541638e-03 4.541638e-03
2.500000e+02 3.000000e+02 9.734522e-04 5.794976e-03 5.794976e-03
3.000000e+02 3.500000e+02 1.667277e-03 9.005451e-03 9.005451e-03
3.500000e+02 4.000000e+02 2.139818e-03 1.032117e-02 1.032117e-02
4.000000e+02 4.500000e+02 2.776486e-03 8.983093e-03 8.983093e-03
4.500000e+02 5.000000e+02 3.461291e-03 1.042862e-02 1.042862e-02
5.000000e+02 5.500000e+02 3.993236e-03 1.185899e-02 1.185899e-02
5.500000e+02 6.000000e+02 4.563348e-03 1.246661e-02 1.246661e-02
6.000000e+02 6.500000e+02 5.141759e-03 1.428313e-02 1.428313e-02
6.500000e+02 7.000000e+02 5.826670e-03 1.498424e-02 1.498424e-02
7.000000e+02 7.500000e+02 6.322949e-03 1.743810e-02 1.743810e-02
7.500000e+02 8.000000e+02 6.976084e-03 1.957636e-02 1.957636e-02
8.000000e+02 8.500000e+02 7.457510e-03 2.023709e-02 2.023709e-02
8.500000e+02 9.000000e+02 8.065130e-03 2.187256e-02 2.187256e-02
9.000000e+02 9.500000e+02 8.636863e-03 2.434032e-02 2.434032e-02
9.500000e+02 1.000000e+03 9.279720e-03 2.706479e-02 2.706479e-02
1.000000e+03 1.100000e+03 9.841213e-03 2.087735e-02 2.087735e-02
1.100000e+03 1.200000e+03 1.047143e-02 2.433694e-02 2.433694e-02
1.200000e+03 1.300000e+03 1.125057e-02 2.711165e-02 2.711165e-02
1.300000e+03 1.400000e+03 1.200930e-02 3.096228e-02 3.096228e-02
1.400000e+03 1.600000e+03 1.259221e-02 2.729904e-02 2.729904e-02
1.600000e+03 1.800000e+03 1.342621e-02 3.668187e-02 3.668187e-02
1.800000e+03 2.000000e+03 1.340044e-02 4.335885e-02 4.335885e-02
2.000000e+03 2.200000e+03 1.473339e-02 5.965937e-02 5.965937e-02
2.200000e+03 2.400000e+03 1.459321e-02 5.635666e-02 5.635666e-02
2.400000e+03 2.600000e+03 1.625744e-02 7.299533e-02 7.299533e-02
2.600000e+03 2.800000e+03 1.798585e-02 9.374865e-02 9.374865e-02
2.800000e+03 3.000000e+03 2.132581e-02 1.117350e-01 1.117350e-01
3.000000e+03 6.500000e+03 2.761045e-02 1.261357e-01 1.261357e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_19
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -6.080527e-03 -5.500763e-03 -5.500763e-03
4.000000e+01 5.000000e+01 -5.661989e-03 -6.845918e-03 -6.845918e-03
5.000000e+01 6.000000e+01 -5.383620e-03 -7.050940e-03 -7.050940e-03
6.000000e+01 7.000000e+01 -5.163020e-03 -7.328048e-03 -7.328048e-03
7.000000e+01 8.000000e+01 -4.856813e-03 -9.367968e-03 -9.367968e-03
8.000000e+01 9.000000e+01 -4.861582e-03 -1.077617e-02 -1.077617e-02
9.000000e+01 1.000000e+02 -4.717824e-03 -1.053036e-02 -1.053036e-02
1.000000e+02 1.100000e+02 -4.406131e-03 -1.471242e-02 -1.471242e-02
1.100000e+02 1.200000e+02 -4.365636e-03 -1.825708e-02 -1.825708e-02
1.200000e+02 1.300000e+02 -4.225092e-03 -5.640838e-02 -5.640838e-02
1.300000e+02 1.400000e+02 -4.353261e-03 -7.273858e-02 -7.273858e-02
1.400000e+02 1.500000e+02 -4.108072e-03 -2.069817e-02 -2.069817e-02
1.500000e+02 2.000000e+02 -3.888958e-03 -5.534094e-03 -5.534094e-03
2.000000e+02 2.500000e+02 -3.625707e-03 -4.534909e-03 -4.534909e-03
2.500000e+02 3.000000e+02 -3.254917e-03 -5.784813e-03 -5.784813e-03
3.000000e+02 3.500000e+02 -3.086149e-03 -8.987846e-03 -8.987846e-03
3.500000e+02 4.000000e+02 -2.714940e-03 -1.030851e-02 -1.030851e-02
4.000000e+02 4.500000e+02 -2.543822e-03 -8.966699e-03 -8.966699e-03
4.500000e+02 5.000000e+02 -2.277931e-03 -1.040462e-02 -1.040462e-02
5.000000e+02 5.500000e+02 -1.978025e-03 -1.182841e-02 -1.182841e-02
5.500000e+02 6.000000e+02 -1.751386e-03 -1.243870e-02 -1.243870e-02
6.000000e+02 6.500000e+02 -1.309500e-03 -1.424491e-02 -1.424491e-02
6.500000e+02 7.000000e+02 -1.272956e-03 -1.494521e-02 -1.494521e-02
7.000000e+02 7.500000e+02 -8.447490e-04 -1.739313e-02 -1.739313e-02
7.500000e+02 8.000000e+02 -6.562080e-04 -1.952237e-02 -1.952237e-02
8.000000e+02 8.500000e+02 -3.231008e-04 -2.017734e-02 -2.017734e-02
8.500000e+02 9.000000e+02 -4.745075e-05 -2.180559e-02 -2.180559e-02
9.000000e+02 9.500000e+02 -1.225626e-05 -2.425882e-02 -2.425882e-02
9.500000e+02 1.000000e+03 -2.929664e-06 -2.697441e-02 -2.697441e-02
1.000000e+03 1.100000e+03 5.456178e-04 2.080316e-02 2.080316e-02
1.100000e+03 1.200000e+03 1.490404e-03 2.424918e-02 2.424918e-02
1.200000e+03 1.300000e+03 1.734644e-03 2.701505e-02 2.701505e-02
1.300000e+03 1.400000e+03 2.273690e-03 3.085194e-02 3.085194e-02
1.400000e+03 1.600000e+03 2.187374e-03 2.720497e-02 2.720497e-02
1.600000e+03 1.800000e+03 3.120561e-03 3.655286e-02 3.655286e-02
1.800000e+03 2.000000e+03 4.012642e-03 4.323881e-02 4.323881e-02
2.000000e+03 2.200000e+03 3.832603e-03 5.945712e-02 5.945712e-02
2.200000e+03 2.400000e+03 5.061349e-03 5.649622e-02 5.649622e-02
2.400000e+03 2.600000e+03 3.294047e-03 7.281282e-02 7.281282e-02
2.600000e+03 2.800000e+03 2.114510e-03 9.347222e-02 9.347222e-02
2.800000e+03 3.000000e+03 -3.182118e-04 -1.113975e-01 -1.113975e-01
3.000000e+03 6.500000e+03 -3.189081e-03 -1.257054e-01 -1.257054e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_20
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 2.983343e-03 5.517799e-03 5.517799e-03
4.000000e+01 5.000000e+01 2.895046e-03 6.866382e-03 6.866382e-03
5.000000e+01 6.000000e+01 2.816250e-03 7.071514e-03 7.071514e-03
6.000000e+01 7.000000e+01 2.706148e-03 7.347709e-03 7.347709e-03
7.000000e+01 8.000000e+01 2.628451e-03 9.393838e-03 9.393838e-03
8.000000e+01 9.000000e+01 2.434583e-03 1.080456e-02 1.080456e-02
9.000000e+01 1.000000e+02 2.400298e-03 1.055375e-02 1.055375e-02
1.000000e+02 1.100000e+02 2.245608e-03 1.475126e-02 1.475126e-02
1.100000e+02 1.200000e+02 2.158178e-03 1.830649e-02 1.830649e-02
1.200000e+02 1.300000e+02 2.098173e-03 5.654080e-02 5.654080e-02
1.300000e+02 1.400000e+02 1.798925e-03 7.290786e-02 7.290786e-02
1.400000e+02 1.500000e+02 1.769157e-03 2.074780e-02 2.074780e-02
1.500000e+02 2.000000e+02 1.434750e-03 5.546760e-03 5.546760e-03
2.000000e+02 2.500000e+02 7.771862e-04 4.542805e-03 4.542805e-03
2.500000e+02 3.000000e+02 1.238100e-04 5.792813e-03 5.792813e-03
3.000000e+02 3.500000e+02 -5.181614e-04 -9.002504e-03 -9.002504e-03
3.500000e+02 4.000000e+02 -1.123319e-03 -1.032590e-02 -1.032590e-02
4.000000e+02 4.500000e+02 -1.875624e-03 -8.975553e-03 -8.975553e-03
4.500000e+02 5.000000e+02 -2.664682e-03 -1.041344e-02 -1.041344e-02
5.000000e+02 5.500000e+02 -3.412658e-03 -1.183467e-02 -1.183467e-02
5.500000e+02 6.000000e+02 -4.110360e-03 -1.243614e-02 -1.243614e-02
6.000000e+02 6.500000e+02 -5.316434e-03 -1.423441e-02 -1.423441e-02
6.500000e+02 7.000000e+02 -6.144472e-03 -1.494158e-02 -1.494158e-02
7.000000e+02 7.500000e+02 -6.925074e-03 -1.738490e-02 -1.738490e-02
7.500000e+02 8.000000e+02 -8.212565e-03 -1.950796e-02 -1.950796e-02
8.000000e+02 8.500000e+02 -9.161615e-03 -2.015367e-02 -2.015367e-02
8.500000e+02 9.000000e+02 -1.061795e-02 -2.176648e-02 -2.176648e-02
9.000000e+02 9.500000e+02 -1.178316e-02 -2.421005e-02 -2.421005e-02
9.500000e+02 1.000000e+03 -1.332708e-02 -2.691281e-02 -2.691281e-02
1.000000e+03 1.100000e+03 -1.540273e-02 -2.074223e-02 -2.074223e-02
1.100000e+03 1.200000e+03 -1.885736e-02 -2.415474e-02 -2.415474e-02
1.200000e+03 1.300000e+03 -2.281747e-02 -2.686275e-02 -2.686275e-02
1.300000e+03 1.400000e+03 -2.726799e-02 -3.063897e-02 -3.063897e-02
1.400000e+03 1.600000e+03 -3.413163e-02 -2.693360e-02 -2.693360e-02
1.600000e+03 1.800000e+03 -4.518767e-02 -3.613706e-02 -3.613706e-02
1.800000e+03 2.000000e+03 -5.987499e-02 -4.249175e-02 -4.249175e-02
2.000000e+03 2.200000e+03 -7.953319e-02 -5.774927e-02 -5.774927e-02
2.200000e+03 2.400000e+03 -9.942431e-02 -5.480763e-02 -5.480763e-02
2.400000e+03 2.600000e+03 -1.258683e-01 -7.015770e-02 -7.015770e-02
2.600000e+03 2.800000e+03 -1.556031e-01 -8.970442e-02 -8.970442e-02
2.800000e+03 3.000000e+03 -1.943611e-01 -1.064737e-01 -1.064737e-01
3.000000e+03 6.500000e+03 -2.683537e-01 -1.198610e-01 -1.198610e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_21
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 2.447621e-03 5.518021e-03 5.518021e-03
4.000000e+01 5.000000e+01 2.354594e-03 6.868316e-03 6.868316e-03
5.000000e+01 6.000000e+01 2.272169e-03 7.072998e-03 7.072998e-03
6.000000e+01 7.000000e+01 2.216821e-03 7.346801e-03 7.346801e-03
7.000000e+01 8.000000e+01 2.192965e-03 9.389897e-03 9.389897e-03
8.000000e+01 9.000000e+01 2.116484e-03 1.079889e-02 1.079889e-02
9.000000e+01 1.000000e+02 2.150529e-03 1.055342e-02 1.055342e-02
1.000000e+02 1.100000e+02 2.056817e-03 1.474733e-02 1.474733e-02
1.100000e+02 1.200000e+02 2.033823e-03 1.830299e-02 1.830299e-02
1.200000e+02 1.300000e+02 1.918382e-03 5.662874e-02 5.662874e-02
1.300000e+02 1.400000e+02 2.099923e-03 7.302899e-02 7.302899e-02
1.400000e+02 1.500000e+02 1.973844e-03 2.075026e-02 2.075026e-02
1.500000e+02 2.000000e+02 1.852817e-03 5.550290e-03 5.550290e-03
2.000000e+02 2.500000e+02 1.654898e-03 4.545480e-03 4.545480e-03
2.500000e+02 3.000000e+02 1.372588e-03 5.799490e-03 5.799490e-03
3.000000e+02 3.500000e+02 1.130195e-03 9.008295e-03 9.008295e-03
3.500000e+02 4.000000e+02 8.895852e-04 1.031269e-02 1.031269e-02
4.000000e+02 4.500000e+02 6.680827e-04 8.982801e-03 8.982801e-03
4.500000e+02 5.000000e+02 2.886386e-04 1.042260e-02 1.042260e-02
5.000000e+02 5.500000e+02 8.876512e-05 1.184367e-02 1.184367e-02
5.500000e+02 6.000000e+02 -1.555673e-04 -1.245410e-02 -1.245410e-02
6.000000e+02 6.500000e+02 -6.051436e-04 -1.426463e-02 -1.426463e-02
6.500000e+02 7.000000e+02 -9.177325e-04 -1.496182e-02 -1.496182e-02
7.000000e+02 7.500000e+02 -1.400430e-03 -1.740527e-02 -1.740527e-02
7.500000e+02 8.000000e+02 -1.890349e-03 -1.953025e-02 -1.953025e-02
8.000000e+02 8.500000e+02 -2.499229e-03 -2.018241e-02 -2.018241e-02
8.500000e+02 9.000000e+02 -3.170512e-03 -2.179927e-02 -2.179927e-02
9.000000e+02 9.500000e+02 -3.689558e-03 -2.425179e-02 -2.425179e-02
9.500000e+02 1.000000e+03 -4.396281e-03 -2.695965e-02 -2.695965e-02
1.000000e+03 1.100000e+03 -5.567919e-03 -2.077898e-02 -2.077898e-02
1.100000e+03 1.200000e+03 -6.884451e-03 -2.420594e-02 -2.420594e-02
1.200000e+03 1.300000e+03 -8.415158e-03 -2.693658e-02 -2.693658e-02
1.300000e+03 1.400000e+03 -1.005824e-02 -3.073680e-02 -3.073680e-02
1.400000e+03 1.600000e+03 -1.163628e-02 -2.707048e-02 -2.707048e-02
1.600000e+03 1.800000e+03 -1.402771e-02 -3.634126e-02 -3.634126e-02
1.800000e+03 2.000000e+03 -1.551722e-02 -4.295458e-02 -4.295458e-02
2.000000e+03 2.200000e+03 -1.685672e-02 -5.912531e-02 -5.912531e-02
2.200000e+03 2.400000e+03 -1.783396e-02 -5.597209e-02 -5.597209e-02
2.400000e+03 2.600000e+03 -1.815071e-02 -7.233525e-02 -7.233525e-02
2.600000e+03 2.800000e+03 -1.702479e-02 -9.301827e-02 -9.301827e-02
2.800000e+03 3.000000e+03 -2.024440e-02 -1.106583e-01 -1.106583e-01
3.000000e+03 6.500000e+03 -2.849267e-02 -1.248914e-01 -1.248914e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_22
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -2.046898e-03 -5.507877e-03 -5.507877e-03
4.000000e+01 5.000000e+01 -1.836602e-03 -6.852781e-03 -6.852781e-03
5.000000e+01 6.000000e+01 -1.782715e-03 -7.058576e-03 -7.058576e-03
6.000000e+01 7.000000e+01 -1.739593e-03 -7.334851e-03 -7.334851e-03
7.000000e+01 8.000000e+01 -1.547947e-03 -9.375124e-03 -9.375124e-03
8.000000e+01 9.000000e+01 -1.689236e-03 -1.078430e-02 -1.078430e-02
9.000000e+01 1.000000e+02 -1.724310e-03 -1.053906e-02 -1.053906e-02
1.000000e+02 1.100000e+02 -1.560264e-03 -1.472047e-02 -1.472047e-02
1.100000e+02 1.200000e+02 -1.568410e-03 -1.826484e-02 -1.826484e-02
1.200000e+02 1.300000e+02 -1.472161e-03 -5.641113e-02 -5.641113e-02
1.300000e+02 1.400000e+02 -1.955864e-03 -7.273733e-02 -7.273733e-02
1.400000e+02 1.500000e+02 -1.780819e-03 -2.071326e-02 -2.071326e-02
1.500000e+02 2.000000e+02 -1.804503e-03 -5.536483e-03 -5.536483e-03
2.000000e+02 2.500000e+02 -2.060181e-03 -4.536590e-03 -4.536590e-03
2.500000e+02 3.000000e+02 -2.230873e-03 -5.786326e-03 -5.786326e-03
3.000000e+02 3.500000e+02 -2.526115e-03 -8.985113e-03 -8.985113e-03
3.500000e+02 4.000000e+02 -2.717566e-03 -1.029426e-02 -1.029426e-02
4.000000e+02 4.500000e+02 -2.910642e-03 -8.963552e-03 -8.963552e-03
4.500000e+02 5.000000e+02 -3.036570e-03 -1.039921e-02 -1.039921e-02
5.000000e+02 5.500000e+02 -3.255789e-03 -1.182031e-02 -1.182031e-02
5.500000e+02 6.000000e+02 -3.302647e-03 -1.243230e-02 -1.243230e-02
6.000000e+02 6.500000e+02 -3.335890e-03 -1.423785e-02 -1.423785e-02
6.500000e+02 7.000000e+02 -3.535499e-03 -1.493121e-02 -1.493121e-02
7.000000e+02 7.500000e+02 -3.377613e-03 -1.737575e-02 -1.737575e-02
7.500000e+02 8.000000e+02 -3.362787e-03 -1.950084e-02 -1.950084e-02
8.000000e+02 8.500000e+02 -3.181829e-03 -2.015294e-02 -2.015294e-02
8.500000e+02 9.000000e+02 -2.913340e-03 -2.177868e-02 -2.177868e-02
9.000000e+02 9.500000e+02 -2.858503e-03 -2.422906e-02 -2.422906e-02
9.500000e+02 1.000000e+03 -2.695346e-03 -2.693824e-02 -2.693824e-02
1.000000e+03 1.100000e+03 -2.010492e-03 -2.077653e-02 -2.077653e-02
1.100000e+03 1.200000e+03 -1.312072e-03 -2.421892e-02 -2.421892e-02
1.200000e+03 1.300000e+03 -2.631768e-04 -2.698246e-02 -2.698246e-02
1.300000e+03 1.400000e+03 1.000477e-03 3.081968e-02 3.081968e-02
1.400000e+03 1.600000e+03 3.438368e-03 2.719426e-02 2.719426e-02
1.600000e+03 1.800000e+03 7.200544e-03 3.655000e-02 3.655000e-02
1.800000e+03 2.000000e+03 1.279268e-02 4.328186e-02 4.328186e-02
2.000000e+03 2.200000e+03 1.945699e-02 5.968671e-02 5.968671e-02
2.200000e+03 2.400000e+03 2.695301e-02 5.641876e-02 5.641876e-02
2.400000e+03 2.600000e+03 3.827097e-02 7.334677e-02 7.334677e-02
2.600000e+03 2.800000e+03 4.904171e-02 9.426618e-02 9.426618e-02
2.800000e+03 3.000000e+03 6.440702e-02 1.125876e-01 1.125876e-01
3.000000e+03 6.500000e+03 1.008898e-01 1.274571e-01 1.274571e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_23
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.620159e-03 5.522144e-03 5.522144e-03
4.000000e+01 5.000000e+01 4.539957e-03 6.871962e-03 6.871962e-03
5.000000e+01 6.000000e+01 4.413206e-03 7.076197e-03 7.076197e-03
6.000000e+01 7.000000e+01 4.305724e-03 7.352647e-03 7.352647e-03
7.000000e+01 8.000000e+01 4.337717e-03 9.396657e-03 9.396657e-03
8.000000e+01 9.000000e+01 4.110126e-03 1.080295e-02 1.080295e-02
9.000000e+01 1.000000e+02 4.140707e-03 1.055888e-02 1.055888e-02
1.000000e+02 1.100000e+02 4.090451e-03 1.475427e-02 1.475427e-02
1.100000e+02 1.200000e+02 3.983381e-03 1.831094e-02 1.831094e-02
1.200000e+02 1.300000e+02 3.948421e-03 5.661268e-02 5.661268e-02
1.300000e+02 1.400000e+02 3.816924e-03 7.300153e-02 7.300153e-02
1.400000e+02 1.500000e+02 3.761738e-03 2.075920e-02 2.075920e-02
1.500000e+02 2.000000e+02 3.548255e-03 5.552126e-03 5.552126e-03
2.000000e+02 2.500000e+02 2.999180e-03 4.547043e-03 4.547043e-03
2.500000e+02 3.000000e+02 2.446308e-03 5.799951e-03 5.799951e-03
3.000000e+02 3.500000e+02 1.816667e-03 9.009794e-03 9.009794e-03
3.500000e+02 4.000000e+02 1.338009e-03 1.032868e-02 1.032868e-02
4.000000e+02 4.500000e+02 6.637240e-04 8.982198e-03 8.982198e-03
4.500000e+02 5.000000e+02 -1.145012e-04 -1.041985e-02 -1.041985e-02
5.000000e+02 5.500000e+02 -7.513988e-04 -1.183994e-02 -1.183994e-02
5.500000e+02 6.000000e+02 -1.341644e-03 -1.244617e-02 -1.244617e-02
6.000000e+02 6.500000e+02 -2.201826e-03 -1.424844e-02 -1.424844e-02
6.500000e+02 7.000000e+02 -2.890928e-03 -1.495241e-02 -1.495241e-02
7.000000e+02 7.500000e+02 -3.534752e-03 -1.739559e-02 -1.739559e-02
7.500000e+02 8.000000e+02 -4.383040e-03 -1.952040e-02 -1.952040e-02
8.000000e+02 8.500000e+02 -5.183669e-03 -2.016876e-02 -2.016876e-02
8.500000e+02 9.000000e+02 -6.195937e-03 -2.178337e-02 -2.178337e-02
9.000000e+02 9.500000e+02 -6.862226e-03 -2.423422e-02 -2.423422e-02
9.500000e+02 1.000000e+03 -7.817476e-03 -2.694069e-02 -2.694069e-02
1.000000e+03 1.100000e+03 -9.479577e-03 -2.076423e-02 -2.076423e-02
1.100000e+03 1.200000e+03 -1.167209e-02 -2.418674e-02 -2.418674e-02
1.200000e+03 1.300000e+03 -1.428351e-02 -2.691393e-02 -2.691393e-02
1.300000e+03 1.400000e+03 -1.753482e-02 -3.070471e-02 -3.070471e-02
1.400000e+03 1.600000e+03 -2.207190e-02 -2.701158e-02 -2.701158e-02
1.600000e+03 1.800000e+03 -2.996853e-02 -3.626467e-02 -3.626467e-02
1.800000e+03 2.000000e+03 -4.054819e-02 -4.271085e-02 -4.271085e-02
2.000000e+03 2.200000e+03 -5.406485e-02 -5.831559e-02 -5.831559e-02
2.200000e+03 2.400000e+03 -6.851077e-02 -5.527101e-02 -5.527101e-02
2.400000e+03 2.600000e+03 -8.808056e-02 -7.095350e-02 -7.095350e-02
2.600000e+03 2.800000e+03 -1.079330e-01 -9.095605e-02 -9.095605e-02
2.800000e+03 3.000000e+03 -1.344439e-01 -1.079788e-01 -1.079788e-01
3.000000e+03 6.500000e+03 -1.823597e-01 -1.217345e-01 -1.217345e-01
# END HISTO1D

# BEGIN HISTO1D evj_pTV_dK_PDF_24
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.255564e-04 -5.513702e-03 -5.513702e-03
4.000000e+01 5.000000e+01 -1.584009e-05 -6.864902e-03 -6.864902e-03
